Year,State,Evs,Infrastructure,Electricity_Price,Gas_Price,Median_Income,Political_Control,Car_Price_Difference,Lithium_Price,EV_Range,Combined_EV_Tax_Credit,Motor_Fuel_Tax,HOV_Access
2014,AL,0.4895,0.1941,11.78,2.5543,51140,0.1832,2958,356,84,7500,18,0
2015,AL,0.6306,0.4184,12,1.6128,53880,0.1832,1539,325,90,7500,18,0
2016,AL,0.8656,0.4667,12.56,1.3908,56660,0.1832,6108,298,218,7500,18,0
2017,AL,1.1981,0.6565,12.73,1.5993,59980,0.174,3021,261,194,7500,18,0
2018,AL,2.2731,0.8082,12.42,1.8645,57720,0.1649,1504,229,213,7500,18,0
2019,AL,3.7384,1.032,12.96,1.7092,64010,0.1649,18661,211,239,7500,26,0
2020,AL,5.2307,1.1845,13.07,1.214,61650,0.1649,3897,190,259,7500,26,0
2021,AL,8.3934,1.3464,13.81,2.0754,61390,0.1649,11281,169,234,7500,26,0
2022,AL,13.8316,1.6713,15.19,2.696,59910,0.1649,17197,153,257,7500,30,0
2014,AZ,2.985,1.1604,11.99,2.6542,59580,0.2667,2958,356,84,7500,18,1
2015,AZ,4.2491,1.1919,12.22,1.7722,63250,0.275,1539,325,90,7500,18,1
2016,AZ,6.0437,1.4638,12.16,1.4844,68510,0.2833,6108,298,218,7500,18,1
2017,AZ,8.5477,1.5133,12.85,1.716,70390,0.2944,3021,261,194,7500,18,1
2018,AZ,16.1916,1.7128,13.26,2.0882,71990,0.3056,1504,229,213,7500,18,1
2019,AZ,25.0415,2.0278,12.91,2.0333,80500,0.3111,18661,211,239,7500,18,1
2020,AZ,33.6414,2.474,12.14,1.4593,75620,0.3167,3897,190,259,7500,18,1
2021,AZ,49.7299,3.1035,12.83,2.2898,76370,0.3167,11281,169,234,7500,18,1
2022,AZ,73.0889,3.5815,13.1,2.966,73450,0.3167,17197,153,257,7500,18,1
2014,AR,0.2527,0.1921,9.84,2.5331,54340,0.5581,2958,356,84,7500,21.5,0
2015,AR,0.3526,0.2183,10,1.6098,51810,0.3669,1539,325,90,7500,21.5,0
2016,AR,0.4983,0.3044,9.85,1.3498,55080,0.1757,6108,298,218,7500,21.5,0
2017,AR,0.7363,0.3765,10.11,1.5837,58660,0.174,3021,261,194,7500,21.5,0
2018,AR,1.5981,0.412,9.34,1.8596,57540,0.1724,1504,229,213,7500,21.5,0
2019,AR,2.8199,0.961,9.71,1.6982,62120,0.1562,18661,211,239,7500,24.8,0
2020,AR,3.908,1.1611,10.76,1.1733,57240,0.14,3897,190,259,7500,24.8,0
2021,AR,6.9078,1.4958,11.47,2.0323,54760,0.1286,11281,169,234,7500,24.8,0
2022,AR,10.8948,1.963,12.58,2.594,53980,0.1171,17197,153,257,7500,24.6,0
2014,CA,15.523,1.811,13.32,2.7563,73170,0.7583,2958,356,84,11625,39.5,1
2015,CA,24.1171,2.6546,14.98,2.1311,77030,0.7729,1539,325,90,11625,30,1
2016,CA,33.8856,3.5959,13.94,1.7256,79960,0.7875,6108,298,218,11625,30,1
2017,CA,46.3648,4.2019,15.37,1.9794,82580,0.8063,3021,261,194,11625,41.7,1
2018,CA,69.3474,5.3518,15.73,2.3492,81480,0.825,1504,229,213,11625,41.7,1
2019,CA,94.7061,6.8657,14.97,2.4212,88960,0.8333,18661,211,239,11625,47.3,1
2020,CA,118.3299,8.7644,20.79,1.7958,87530,0.8417,3897,190,259,11625,50.5,1
2021,CA,161.9676,10.5313,22,2.7582,87960,0.85,11281,169,234,11625,51.1,1
2022,CA,231.1193,11.1166,25.49,3.505,85300,0.8583,17197,153,257,11625,53.9,1
2014,CT,2.2451,0.9987,20.19,2.6965,84870,0.7198,2958,356,84,11625,25,0
2015,CT,3.6743,1.3799,20.05,1.7108,88230,0.6971,1539,325,90,11625,25,0
2016,CT,5.3184,2.0206,19.95,1.4628,91100,0.6744,6108,298,218,11625,25,0
2017,CT,8.0738,2.2052,21.3,1.689,87620,0.7119,3021,261,194,11625,25,0
2018,CT,13.2409,2.3435,21.87,1.9683,84160,0.7494,1504,229,213,11625,25,0
2019,CT,19.9479,2.9395,21.67,1.816,99420,0.7595,18661,211,239,11625,25,0
2020,CT,26.5347,3.466,22.68,1.3196,89540,0.7697,3897,190,259,11625,25,0
2021,CT,40.0839,3.9682,22.85,2.1414,87300,0.7708,11281,169,234,11625,25,0
2022,CT,59.0212,4.539,25.04,2.728,90730,0.7719,17197,153,257,11625,25,0
2014,DE,1.0295,0.2788,14.72,2.6533,69580,0.7271,2958,356,84,9250,23,0
2015,DE,1.5724,0.5843,14.4,1.6684,69910,0.7191,1539,325,90,9250,23,0
2016,DE,2.3079,0.7061,15.5,1.4142,69650,0.7112,6108,298,218,9250,23,0
2017,DE,3.6893,1.066,14.3,1.6382,76600,0.7232,3021,261,194,9250,23,0
2018,DE,7.2296,1.3776,13.89,1.9175,75140,0.7352,1504,229,213,9250,23,0
2019,DE,13.1141,1.7663,14.03,1.7723,84510,0.7511,18661,211,239,9250,23,0
2020,DE,18.7728,2.0769,13.93,1.2469,78930,0.7669,3897,190,259,9250,23,0
2021,DE,30.3519,3.1247,13.69,2.0967,74070,0.7749,11281,169,234,9250,23,0
2022,DE,46.7895,3.5999,16.16,2.688,80750,0.7828,17197,153,257,9250,23,0
2014,FL,2.2906,0.6359,11.99,2.6204,55810,0.2194,2958,356,84,7500,16.9,0
2015,FL,3.3104,0.8462,11.61,1.6878,59100,0.2292,1539,325,90,7500,17.3,0
2016,FL,4.8861,1.0323,11.2,1.442,61400,0.2389,6108,298,218,7500,17.3,0
2017,FL,6.4669,1.1949,12.12,1.6833,62600,0.2556,3021,261,194,7500,17.4,0
2018,FL,10.9964,1.4263,11.67,1.9268,63160,0.2722,1504,229,213,7500,27.5,0
2019,FL,16.9934,2.1241,11.91,1.7617,66480,0.2611,18661,211,239,7500,37.48,0
2020,FL,25.5219,2.5561,11.49,1.2762,65110,0.25,3897,190,259,7500,37.78,0
2021,FL,42.5937,3.0796,12.21,2.1028,64410,0.2236,11281,169,234,7500,38.08,0
2022,FL,67.169,3.5072,14.21,2.728,65370,0.1972,17197,153,257,7500,38.88,0
2014,GA,14.3952,0.6655,11.34,2.6118,59940,0.2164,2958,356,84,7500,7.5,1
2015,GA,20.3852,1.1436,11.09,1.6546,61450,0.2192,1539,325,90,7500,26,1
2016,GA,21.6125,1.4638,11.07,1.4012,64230,0.222,6108,298,218,7500,26,1
2017,GA,22.7073,1.8251,11.42,1.6193,68370,0.242,3021,261,194,7500,26.3,1
2018,GA,26.7507,2.0778,10.96,1.8859,64520,0.262,1504,229,213,7500,26.8,1
2019,GA,30.4641,2.7681,11.02,1.7321,64500,0.2669,18661,211,239,7500,27.5,1
2020,GA,34.3502,3.3963,12.03,1.2269,66810,0.2717,3897,190,259,7500,27.9,1
2021,GA,43.4767,3.6505,12.93,2.0918,66310,0.2774,11281,169,234,7500,28.7,1
2022,GA,59.1424,3.7762,14.31,2.708,67730,0.2832,17197,153,257,7500,29.1,1
2014,ID,0.705,0.141,10.24,2.6539,64640,0.1333,2958,356,84,7500,25,0
2015,ID,1.0418,0.424,10.32,1.8109,62490,0.1214,1539,325,90,7500,32,0
2016,ID,1.3552,0.7965,10.31,1.5213,67870,0.1095,6108,298,218,7500,33,0
2017,ID,1.828,0.9897,10.34,1.7912,70160,0.1214,3021,261,194,7500,33,0
2018,ID,3.4561,0.994,10.33,2.154,67880,0.1333,1504,229,213,7500,33,0
2019,ID,5.5286,1.2087,9.7,1.957,75160,0.1286,18661,211,239,7500,33,0
2020,ID,7.8839,1.5195,10.3,1.4667,75220,0.1238,3897,190,259,7500,33,0
2021,ID,13.1003,1.8115,10.6,2.4611,82940,0.1214,11281,169,234,7500,33,0
2022,ID,21.573,1.9701,11.24,2.7897,72580,0.119,17197,153,257,7500,33,0
2014,IL,2.2935,0.6201,13.14,2.6411,66430,0.7542,2958,356,84,11500,19,0
2015,IL,3.3284,0.7155,13.47,1.7271,73130,0.5763,1539,325,90,11500,19,0
2016,IL,4.5256,0.8861,12.54,1.4447,73650,0.3983,6108,298,218,11500,19,0
2017,IL,6.4028,0.9672,12.88,1.6655,77790,0.4167,3021,261,194,11500,19,0
2018,IL,10.6971,1.0996,13.23,1.9141,81080,0.435,1504,229,213,11500,19,0
2019,IL,15.7286,1.471,13.62,1.7917,84740,0.4364,18661,211,239,11500,39.1,0
2020,IL,20.7766,1.8381,13.98,1.1994,83790,0.4379,3897,190,259,11500,39.8,0
2021,IL,30.2001,2.1717,13.98,2.0504,85460,0.4421,11281,169,234,11500,40.3,0
2022,IL,47.9976,2.6346,17.25,2.57,78020,0.4463,17197,153,257,11500,40.3,0
2014,IN,0.8903,0.3503,12,2.5971,58130,0.1633,2958,356,84,7500,18,0
2015,IN,1.259,0.4479,11.77,1.6491,62930,0.1617,1539,325,90,7500,18,0
2016,IN,1.6686,0.5863,12.24,1.3998,67310,0.16,6108,298,218,7500,18,0
2017,IN,2.319,0.6053,12.4,1.608,69290,0.1683,3021,261,194,7500,29,0
2018,IN,4.3477,0.7259,12.39,1.8691,69230,0.1767,1504,229,213,7500,30,0
2019,IN,6.9249,0.912,12.55,1.7444,75960,0.1733,18661,211,239,7500,31,0
2020,IN,9.446,1.1548,13.98,1.1699,75310,0.17,3897,190,259,7500,32,0
2021,IN,14.2608,1.3913,14.31,2.0232,75690,0.1683,11281,169,234,7500,33,0
2022,IN,21.8273,1.5924,17.15,2.5493,70030,0.1667,17197,153,257,7500,34,0
2014,IA,0.6304,0.3506,11.4,2.5858,69930,0.3167,2958,356,84,7500,21,0
2015,IA,0.8267,0.4998,11.7,1.6713,73660,0.2947,1539,325,90,7500,30.8,0
2016,IA,1.0794,0.6898,12.27,1.3828,70900,0.2727,6108,298,218,7500,31.7,0
2017,IA,1.4993,0.8213,12.08,1.6378,74840,0.2743,3021,261,194,7500,31.5,0
2018,IA,3.0299,0.9401,12.82,1.915,79430,0.2758,1504,229,213,7500,31.7,0
2019,IA,4.6148,1.103,12.49,1.7601,75240,0.2662,18661,211,239,7500,31.5,0
2020,IA,6.2835,1.5231,12.51,1.1844,77570,0.2567,3897,190,259,7500,31,0
2021,IA,10.5693,1.8199,12.53,2.0478,78100,0.24,11281,169,234,7500,31,0
2022,IA,16.786,2.0596,13.36,2.5873,76320,0.2233,17197,153,257,7500,31,0
2014,KS,0.6723,0.6344,12.73,2.539,64650,0.1497,2958,356,84,9900,24,0
2015,KS,0.9247,1.8941,12.34,1.6183,66410,0.1657,1539,325,90,9900,24,0
2016,KS,1.6456,2.4907,13.12,1.3518,68160,0.1817,6108,298,218,9900,24,0
2017,KS,2.3653,2.551,13.32,1.5952,67090,0.1817,3021,261,194,9900,24,0
2018,KS,4.534,2.6895,13.32,1.8719,73900,0.1817,1504,229,213,9900,24,0
2019,KS,6.7861,3.103,13.03,1.7233,83320,0.1887,18661,211,239,9900,24,0
2020,KS,9.3257,3.2334,13.08,1.1684,82380,0.1957,3897,190,259,9900,24,0
2021,KS,13.8022,3.4616,13.12,2.0158,81930,0.1957,11281,169,234,9900,24,0
2022,KS,21.0848,3.5652,15.1,2.5583,73040,0.1957,17197,153,257,9900,24,0
2014,KY,0.3126,0.2401,10.39,2.6416,51750,0.6186,2958,356,84,7500,30.9,0
2015,KY,0.4677,0.2101,10.74,1.6888,51310,0.4175,1539,325,90,7500,24.6,0
2016,KY,0.6714,0.3785,10.83,1.4625,54440,0.2165,6108,298,218,7500,24.6,0
2017,KY,1.0377,0.4335,10.94,1.6733,58570,0.2171,3021,261,194,7500,24.6,0
2018,KY,2.0891,0.4909,10.77,1.9118,63060,0.2177,1504,229,213,7500,24.6,0
2019,KY,3.3843,0.7051,10.89,1.7703,63400,0.1856,18661,211,239,7500,24.6,0
2020,KY,4.9799,0.8496,11.7,1.2463,63980,0.1535,3897,190,259,7500,24.6,0
2021,KY,8.2439,1.1691,12.26,2.09,59980,0.1408,11281,169,234,7500,24.6,0
2022,KY,13.195,1.3654,13.99,2.627,55880,0.1281,17197,153,257,7500,24.6,0
2014,LA,0.3919,0.1464,9.63,2.5326,51290,0.2738,2958,356,84,7500,20,0
2015,LA,0.5574,0.1758,9.55,1.5951,55590,0.4314,1539,325,90,7500,20,0
2016,LA,0.7909,0.3313,9.33,1.3699,50630,0.5889,6108,298,218,7500,20,0
2017,LA,1.0555,0.4175,9.72,1.6051,51370,0.5889,3021,261,194,7500,20,0
2018,LA,1.8993,0.4571,9.11,1.8741,57760,0.5889,1504,229,213,7500,20,0
2019,LA,3.0373,0.6303,9.89,1.6877,58890,0.569,18661,211,239,7500,20,0
2020,LA,4.1573,0.7739,10.57,1.1738,57700,0.5492,3897,190,259,7500,20,0
2021,LA,6.6781,0.8321,11.7,2.0465,61690,0.5492,11281,169,234,7500,20,0
2022,LA,11.044,1.0353,14.06,2.673,58330,0.5492,17197,153,257,7500,20,0
2014,ME,0.9245,0.3082,15.86,2.7047,62550,0.2491,2958,356,84,15000,30,0
2015,ME,1.3025,0.655,14.87,1.7137,61440,0.2508,1539,325,90,15000,30,0
2016,ME,1.5774,1.3821,16.28,1.4768,61020,0.2525,6108,298,218,15000,30,0
2017,ME,2.5026,1.6559,16.2,1.6833,62870,0.2834,3021,261,194,15000,30,0
2018,ME,4.3911,1.9715,16.47,1.9956,67810,0.3143,1504,229,213,15000,30,0
2019,ME,8.2279,3.2212,18.33,1.855,75800,0.301,18661,211,239,15000,30,0
2020,ME,11.9456,3.7962,16.86,1.2957,71800,0.2876,3897,190,259,15000,30,0
2021,ME,19.6767,4.562,18.18,2.1563,76710,0.2912,11281,169,234,15000,30,0
2022,ME,30.1439,6.226,23.06,2.7563,75160,0.2948,17197,153,257,15000,30,0
2014,MD,2.3702,1.0911,13.96,2.6433,92130,0.7825,2958,356,84,10500,23.5,1
2015,MD,3.6003,1.4251,15.35,1.6711,89090,0.6158,1539,325,90,10500,32.1,1
2016,MD,5.0522,1.8873,15.19,1.4187,88500,0.4492,6108,298,218,10500,33.5,1
2017,MD,7.4304,2.2261,14.4,1.6461,96800,0.4551,3021,261,194,10500,33.8,1
2018,MD,13.7364,2.906,14.19,1.9172,99660,0.461,1504,229,213,10500,35.3,1
2019,MD,22.2638,3.4901,14.05,1.7693,108900,0.461,18661,211,239,10500,36.7,1
2020,MD,30.3822,4.4819,13.85,1.2293,106900,0.461,3897,190,259,10500,36.3,1
2021,MD,45.5608,5.5319,14.48,2.076,105000,0.4716,11281,169,234,10500,36.1,1
2022,MD,69.2053,6.3741,15.86,2.678,108200,0.4823,17197,153,257,10500,42.7,1
2014,MA,2.3098,1.0662,16.9,2.6758,76390,0.5438,2958,356,84,11000,24,0
2015,MA,3.5427,1.4115,18.37,1.6978,82150,0.5438,1539,325,90,11000,24,0
2016,MA,5.1468,1.8407,18.74,1.4564,86710,0.5438,6108,298,218,11000,24,0
2017,MA,7.8676,2.191,19.35,1.6763,89900,0.5458,3021,261,194,11000,24,0
2018,MA,15.0466,2.6007,21.3,1.9414,99800,0.5479,1504,229,213,11000,24,0
2019,MA,23.2165,3.5618,21.23,1.7855,99900,0.5625,18661,211,239,11000,24,0
2020,MA,31.3317,4.8673,21.63,1.2564,98980,0.5771,3897,190,259,11000,24,0
2021,MA,46.1059,6.9666,22.59,2.1023,93340,0.5823,11281,169,234,11000,24,0
2022,MA,67.7499,8.2561,26.28,2.682,93550,0.5875,17197,153,257,11000,24,0
2014,MI,0.7664,0.711,14.72,2.6127,62910,0.2389,2958,356,84,7500,19,0
2015,MI,1.0683,0.7914,14.59,1.6549,65610,0.2389,1539,325,90,7500,19,0
2016,MI,1.3627,1.1396,15.77,1.4294,68500,0.2389,6108,298,218,7500,19,0
2017,MI,2.0996,1.2133,15.2,1.6338,66510,0.2684,3021,261,194,7500,26.3,0
2018,MI,3.7229,1.3842,15.42,1.8885,69870,0.2979,1504,229,213,7500,26.3,0
2019,MI,4.531,1.4309,16.35,1.7599,73030,0.2979,18661,211,239,7500,26.3,0
2020,MI,7.5983,1.5868,16.83,1.2002,72590,0.2979,3897,190,259,7500,26.3,0
2021,MI,14.0235,1.826,17.96,2.0532,69540,0.3215,11281,169,234,7500,26.3,0
2022,MI,23.9244,2.6881,18.18,2.541,68990,0.3451,17197,153,257,7500,27.2,0
2014,MN,1.1998,0.8182,12.47,2.5259,81340,0.6816,2958,356,84,7500,28.5,0
2015,MN,1.7293,0.9285,12.76,1.6318,83200,0.6604,1539,325,90,7500,28.5,0
2016,MN,2.7197,1.2421,13.24,1.347,84250,0.6393,6108,298,218,7500,28.5,0
2017,MN,4.0243,1.3654,13.53,1.6128,82510,0.6617,3021,261,194,7500,28.5,0
2018,MN,7.324,1.4056,13.72,1.8931,83010,0.6841,1504,229,213,7500,28.5,0
2019,MN,12.2863,1.8636,13.4,1.7582,92740,0.6729,18661,211,239,7500,28.5,0
2020,MN,16.606,2.1329,13.64,1.1693,88770,0.6617,3897,190,259,7500,28.5,0
2021,MN,24.6696,2.4309,14.03,2.0256,86740,0.6692,11281,169,234,7500,28.5,0
2022,MN,36.8094,2.6547,14.95,2.5497,90390,0.6766,17197,153,257,7500,28.5,0
2014,MS,0.1572,0.117,11.54,2.5769,42970,0.2931,2958,356,84,7500,18.4,0
2015,MS,0.2008,0.1205,11.16,1.6171,48460,0.2776,1539,325,90,7500,18.4,0
2016,MS,0.2912,0.2142,10.66,1.3788,49310,0.2621,6108,298,218,7500,18.4,0
2017,MS,0.4718,0.3882,11.2,1.6088,51030,0.2621,3021,261,194,7500,18.4,0
2018,MS,0.8521,0.3992,11.22,1.8711,49450,0.2621,1504,229,213,7500,18.4,0
2019,MS,1.4146,0.9811,11.22,1.714,51010,0.2457,18661,211,239,7500,18.4,0
2020,MS,2.1735,1.1628,11.53,1.2022,50880,0.2293,3897,190,259,7500,18.4,0
2021,MS,3.787,1.468,11.96,2.0741,50290,0.2293,11281,169,234,7500,18.4,0
2022,MS,6.1315,1.5005,13.44,2.6893,48610,0.2293,17197,153,257,7500,18.4,0
2014,MO,1.108,0.3203,10.59,2.5733,68500,0.5156,2958,356,84,7500,17,0
2015,MO,1.558,0.8663,11.07,1.6604,71660,0.5156,1539,325,90,7500,17,0
2016,MO,2.3295,1.9106,10.4,1.3863,66010,0.5156,6108,298,218,7500,17,0
2017,MO,3.321,2.571,10.79,1.6267,66660,0.3549,3021,261,194,7500,17,0
2018,MO,5.8007,2.7329,10.71,1.8981,71350,0.1942,1504,229,213,7500,17,0
2019,MO,8.3879,3.0876,10.3,1.7613,69020,0.1962,18661,211,239,7500,17,0
2020,MO,11.2553,3.3472,11.05,1.2017,70090,0.1982,3897,190,259,7500,17,0
2021,MO,16.845,3.5654,11.26,2.0584,68570,0.2013,11281,169,234,7500,19.5,0
2022,MO,26.5348,3.5809,12.21,2.61,71520,0.2044,17197,153,257,7500,22,0
2014,MT,0.685,0.0979,10.8,2.5936,61810,0.61,2958,356,84,7500,27.75,0
2015,MT,1.2324,0.4367,11.29,1.7311,62210,0.6,1539,325,90,7500,27.75,0
2016,MT,1.7966,0.7302,11.35,1.5028,68480,0.59,6108,298,218,7500,27.75,0
2017,MT,2.5559,0.7981,11.42,1.7838,67690,0.5983,3021,261,194,7500,32.25,0
2018,MT,4.2426,0.9051,11.48,2.0583,66670,0.6067,1504,229,213,7500,32.25,0
2019,MT,6.3624,1.2818,11.71,1.8936,68560,0.5883,18661,211,239,7500,32.75,0
2020,MT,8.4896,1.7292,11.58,1.3914,63960,0.57,3897,190,259,7500,32.75,0
2021,MT,14.0912,1.9162,11.73,2.2758,70090,0.3917,11281,169,234,7500,33.25,0
